"","V1","Description.x","R_squared","V2","Description.y"
"236","V203_Very Low_Ref","I think that homosexuality is never justifable.","0.728571428571429","V40_1_Ref","I would not like to have homosexuals as neighbors"
"237","V203_ Very High","I think that homosexuality is always justifable","-0.711269930335629","V40_1_Ref","I would not like to have homosexuals as neighbors"
"238","V37_1_Ref","I would not like to have people of a different race as neighbors","0.779220779220779","V41_1_Ref","I would not like to have people of a different religion as neighbors"
"239","V43_1_Ref","I would not like to have unmarried couples living together as neighbors","0.701298701298701","V41_1_Ref","I would not like to have people of a different religion as neighbors"
"240","V41_1_Ref","I would not like to have people of a different religion as neighbors","0.701298701298701","V43_1_Ref","I would not like to have unmarried couples living together as neighbors"
"241","V37_1_Ref","I would not like to have people of a different race as neighbors","0.741149763025528","V44_1_Ref","I would not like to have people who speak a different language"
"242","V53_1_Ref","I strongly agree that on the whole, men make better business executives than women do ","0.727272727272727","V45_1_Ref","I agree that if jobs are scarce, men should have more right to a job than women "
"243","V51_1_Ref","I strongly agree that on the whole, men make better political leaders than women do","0.709090909090909","V45_1_Ref","I agree that if jobs are scarce, men should have more right to a job than women "
"244","V9_1_Ref","Religion is very important in my life","0.702597402597403","V49_1_Ref","I strongly agree that one of my main goals in life has been to make my parents proud"
"245","V45_1_Ref","I agree that if jobs are scarce, men should have more right to a job than women ","0.709090909090909","V51_1_Ref","I strongly agree that on the whole, men make better political leaders than women do"
"246","V52_1_Ref","I strongly agree that a university education is more important for a boy than for a girl","0.720779220779221","V51_1_Ref","I strongly agree that on the whole, men make better political leaders than women do"
"247","V53_1_Ref","I strongly agree that on the whole, men make better business executives than women do ","0.846753246753247","V51_1_Ref","I strongly agree that on the whole, men make better political leaders than women do"
"248","V53_2","I agree that on the whole, men make better business executives than women do","0.759337487271553","V51_2","I agree that on the whole, men make better political leaders than women"
"249","V53_3","I disagree that on the whole, men make better business executive than women do ","0.786619073640591","V51_3","I disagree that on the whole, men make better political leaders than women"
"250","V53_4","I strongly disagree that on the whole, men make better business executive than women do","0.820779220779221","V51_4","I strongly disagree that on the whole, men make better political leaders than women "
"251","V51_1_Ref","I strongly agree that on the whole, men make better political leaders than women do","0.720779220779221","V52_1_Ref","I strongly agree that a university education is more important for a boy than for a girl"
"252","V53_1_Ref","I strongly agree that on the whole, men make better business executives than women do ","0.754545454545455","V52_1_Ref","I strongly agree that a university education is more important for a boy than for a girl"
"253","V45_1_Ref","I agree that if jobs are scarce, men should have more right to a job than women ","0.727272727272727","V53_1_Ref","I strongly agree that on the whole, men make better business executives than women do "
"254","V52_1_Ref","I strongly agree that a university education is more important for a boy than for a girl","0.754545454545455","V53_1_Ref","I strongly agree that on the whole, men make better business executives than women do "
"255","V51_1_Ref","I strongly agree that on the whole, men make better political leaders than women do","0.846753246753247","V53_1_Ref","I strongly agree that on the whole, men make better business executives than women do "
"256","V51_2","I agree that on the whole, men make better political leaders than women","0.759337487271553","V53_2","I agree that on the whole, men make better business executives than women do"
"257","V51_3","I disagree that on the whole, men make better political leaders than women","0.786619073640591","V53_3","I disagree that on the whole, men make better business executive than women do "
"258","V51_4","I strongly disagree that on the whole, men make better political leaders than women ","0.820779220779221","V53_4","I strongly disagree that on the whole, men make better business executive than women do"
"259","V76_1_Ref","Adventure, taking risks, and having an exciting life is very much like me","0.700876945052186","V75_1_Ref","Being very successful and having people recognize one's achievements is very much like me"
"260","V75_1_Ref","Being very successful and having people recognize one's achievements is very much like me","0.700876945052186","V76_1_Ref","Adventure, taking risks, and having an exciting life is very much like me"
"261","V86_3","I woud never join in boycotts","0.709824333116461","V85_3","I would never sign a petition"
"262","V87_3","I would never attend a peaceful demonstration","0.765777488614183","V85_3","I would never sign a petition"
"263","V85_3","I would never sign a petition","0.709824333116461","V86_3","I woud never join in boycotts"
"264","V88_2","I might join in strikes","0.825634352635003","V87_2","I might attend a peaceful demonstration"
"265","V88_3","I would never join strikes","0.768379960962915","V87_3","I would never attend a peaceful demonstration"
"266","V89_3","I would never do any other act of protest","0.70477353760254","V87_3","I would never attend a peaceful demonstration"
"267","V85_3","I would never sign a petition","0.765777488614183","V87_3","I would never attend a peaceful demonstration"
"268","V87_2","I might attend a peaceful demonstration","0.825634352635003","V88_2","I might join in strikes"
"269","V89_3","I would never do any other act of protest","0.737432181606365","V88_3","I would never join strikes"
"270","V87_3","I would never attend a peaceful demonstration","0.768379960962915","V88_3","I would never join strikes"
"271","V88_3","I would never join strikes","0.737432181606365","V89_3","I would never do any other act of protest"
"272","V87_3","I would never attend a peaceful demonstration","0.70477353760254","V89_3","I would never do any other act of protest"
"273","V146_1_Ref","I pray several times a day apart from weddings and funerals","0.722962038779502","V9_1_Ref","Religion is very important in my life"
"274","V19_1_Ref","Religious faith is am important quality that children can be encouraged to learn at home.","0.779220779220779","V9_1_Ref","Religion is very important in my life"
"275","V49_1_Ref","I strongly agree that one of my main goals in life has been to make my parents proud","0.702597402597403","V9_1_Ref","Religion is very important in my life"
"276","V153_1_Ref","I strongly agree that whenever science and religion conflict, religion is always right. ","0.753736351448104","V9_1_Ref","Religion is very important in my life"
"277","V153_4","I strong disagree that whenever science and religion conflict, relgion is always right","-0.707792207792208","V9_1_Ref","Religion is very important in my life"
"278","V19_1_Ref","Religious faith is am important quality that children can be encouraged to learn at home.","-0.75154274830897","V9_3","Religion is not very important in my life"
"279","V153_1_Ref","I strongly agree that whenever science and religion conflict, religion is always right. ","-0.735131660531658","V9_3","Religion is not very important in my life"
"280","V146_1_Ref","I pray several times a day apart from weddings and funerals","-0.718648473034438","V9_3","Religion is not very important in my life"
"281","V146_1_Ref","I pray several times a day apart from weddings and funerals","-0.701754385964912","V9_4","Religion is not important at all in my life"
"282","V19_1_Ref","Religious faith is am important quality that children can be encouraged to learn at home.","-0.712569053496059","V9_4","Religion is not important at all in my life"
"283","V153_4","I strong disagree that whenever science and religion conflict, relgion is always right","0.703475191373047","V9_4","Religion is not important at all in my life"
"284","V100_Low","I mostly agree that in the long run, hard work usually brings a better life","0.756739240950692","V99_Low","I mostly agree that competition is good it stimulates people to work hard and develop new ideas"
